,state,cord
0,alabama,"(139, -77)"
1,alaska,"(-204, -170)"
2,arizona,"(-203, -40)"
3,arkansas,"(57, -53)"
4,california,"(-297, 13)"
5,colorado,"(-112, 20)"
6,connecticut,"(297, 96)"
7,delaware,"(275, 42)"
8,florida,"(220, -145)"
9,georgia,"(182, -75)"
10,hawaii,"(-317, -143)"
11,idaho,"(-216, 122)"
12,illinois,"(95, 37)"
13,indiana,"(133, 39)"
14,iowa,"(38, 65)"
15,kansas,"(-17, 5)"
16,kentucky,"(149, 1)"
17,louisiana,"(59, -114)"
18,maine,"(319, 164)"
19,maryland,"(288, 27)"
20,massachusetts,"(312, 112)"
21,michigan,"(148, 101)"
22,minnesota,"(23, 135)"
23,mississippi,"(94, -78)"
24,missouri,"(49, 6)"
25,montana,"(-141, 150)"
26,nebraska,"(-61, 66)"
27,nevada,"(-257, 56)"
28,new hampshire,"(302, 127)"
29,new jersey,"(282, 65)"
30,new mexico,"(-128, -43)"
31,new york,"(236, 104)"
32,north carolina,"(239, -22)"
33,north dakota,"(-44, 158)"
34,ohio,"(176, 52)"
35,oklahoma,"(-8, -41)"
36,oregon,"(-278, 138)"
37,pennsylvania,"(238, 72)"
38,rhode island,"(318, 94)"
39,south carolina,"(218, -51)"
40,south dakota,"(-44, 109)"
41,tennessee,"(131, -34)"
42,texas,"(-38, -106)"
43,utah,"(-189, 34)"
44,vermont,"(282, 154)"
45,virginia,"(234, 12)"
46,washington,"(-257, 193)"
47,west virginia,"(200, 20)"
48,wisconsin,"(83, 113)"
49,wyoming,"(-134, 90)"
